ParameterValue,Run,ExecutionTime,Makespan,AvgRT,AvgUtilization,TotalCost,BestFitness,MaxLoad
0.05,0,353.5984,260.779,55.18493883333335,0.35428843324551956,358.72439916666673,0.20823775437110423,20
0.05,1,260.8802,234.81000000000003,57.61643866666666,0.3832847621481196,356.3990291666669,0.22366452118497318,18
0.05,2,280.17,271.48,58.55787050000005,0.35691249201905606,365.7745183333331,0.22173690325492934,17
0.05,3,254.1442,253.132,54.224798499999984,0.3531973107574967,358.0199124999998,0.2040519693004087,19
0.05,4,251.7381,264.024,55.46841783333336,0.35270295503439075,358.1073108333333,0.21482409019696896,16
0.05,5,393.8882,243.614,53.72895083333334,0.38591757178706204,373.8878908333329,0.21319636856671478,18
0.05,6,403.5926,289.723,62.42312316666663,0.35937268241274134,403.11610500000023,0.21313250868485248,16
0.05,7,351.7075,263.72200000000004,52.87135450000004,0.3363818907789262,356.206459166667,0.21020756189196804,15
0.05,8,341.4716,271.64300000000003,54.834847499999995,0.34237035987184145,355.0573966666665,0.2063287449611603,20
0.05,9,358.2159,279.98400000000004,57.681801,0.3421438784597214,367.7139841666671,0.2077313307518109,19
0.05,10,335.8927,219.41500000000002,52.95719866666667,0.4240136499327758,370.8905766666666,0.2045977967443311,17
0.05,11,298.4168,276.966,57.64587650000001,0.345633110201252,369.91925166666624,0.21983630753524247,18
0.05,12,303.2662,261.686,55.989698666666676,0.3623688759301861,366.02858,0.2283881541155547,19
0.05,13,334.8711,254.558,54.80129850000002,0.3491326600093757,362.30676250000005,0.2150716771105329,18
0.05,14,354.8756,287.62600000000003,55.69628683333335,0.3287373939305439,366.9411608333331,0.21970760189257107,20
0.1,0,390.2411,245.871,59.719899333333316,0.36421772663985036,355.1253733333334,0.22768453822994225,20
0.1,1,341.1075,177.412,51.16585616666667,0.488436708527796,358.80234749999937,0.22248828689976763,22
0.1,2,385.1602,267.461,58.64877733333337,0.3631313288043241,375.8759225000001,0.2270544780687094,18
0.1,3,417.6726,215.05800000000002,56.18717833333336,0.4292121660203293,361.98088083333346,0.21100211058904644,17
0.1,4,336.7275,231.251,50.77571050000001,0.38149369444168163,353.35171583333323,0.22065178642894426,14
0.1,5,345.1634,281.209,58.47261833333334,0.34082496766936105,367.5242641666666,0.21660334935975636,19
0.1,6,373.3502,236.352,56.053913999999985,0.37346192684357793,348.7868983333334,0.21347788215923072,18
0.1,7,404.2535,223.097,51.53190933333331,0.39872486706081495,365.5388833333333,0.21247838258017593,22
0.1,8,272.5856,205.10600000000002,52.13878433333331,0.43185743794265746,364.04543583333333,0.21180071880060206,19
0.1,9,272.7044,251.36100000000002,55.54787499999999,0.371784120580891,370.26499583333316,0.2045265830215366,18
0.1,10,276.2156,279.089,59.61341316666664,0.33545642548912114,371.2900816666662,0.21536568610444937,18
0.1,11,260.796,201.298,49.214694666666645,0.42227525029227,347.2281958333333,0.21650113590280393,18
0.1,12,276.0905,203.668,54.54746683333335,0.4261467191704146,358.32439333333355,0.22138522018133136,18
0.1,13,273.4294,262.529,57.86284733333334,0.3636291609688833,371.756853333333,0.20624238688798352,18
0.1,14,265.9504,291.382,54.487656666666645,0.30634134343690866,352.7533808333334,0.21715088797031643,17
0.15,0,276.9733,283.36100000000005,57.41111666666669,0.33356453428665206,370.51117166666666,0.22349877916869995,17
0.15,1,271.7956,296.016,67.38183866666664,0.3429501502171053,381.67217750000026,0.22228663142495497,21
0.15,2,269.3087,301.869,58.998169833333336,0.3077782691609054,372.00240416666657,0.2145129052351354,21
0.15,3,288.1123,209.506,53.691388166666684,0.42732290085566355,365.9917774999999,0.21358482954086325,16
0.15,4,295.4148,261.93300000000005,54.19278283333332,0.3572495001902521,374.63390416666635,0.2182683621266346,17
0.15,5,270.3774,298.235,53.501685333333334,0.29201705590110705,348.7749308333335,0.20501317860883334,19
0.15,6,255.7433,263.717,53.36127549999999,0.33823237915391624,350.0664649999997,0.21226950752474052,19
0.15,7,270.6339,294.14700000000005,57.40373083333331,0.3183396906988682,370.1579591666665,0.22339786530514905,19
0.15,8,273.5991,219.941,50.91035616666669,0.3978618129407432,353.0935416666669,0.2078416871454611,21
0.15,9,266.3255,248.007,54.862326833333334,0.36506241759305175,353.9864675,0.22090704389318552,22
0.15,10,280.9684,306.374,64.01363100000002,0.32207117771090227,383.52209916666675,0.21394383469620218,18
0.15,11,278.6426,266.45500000000004,53.549757000000014,0.3373942942210379,348.8691725,0.2174117672972113,18
0.15,12,271.2038,278.118,52.64616116666663,0.32290821401946884,355.2777083333333,0.2152722830081598,18
0.15,13,268.7321,250.30200000000002,54.68792783333334,0.37993166921026067,365.56036499999993,0.20735822953915145,16
0.15,14,454.8197,254.74,55.32492133333329,0.3646310748213865,357.7274008333332,0.2159041062393238,21
0.2,0,439.8659,238.849,53.2819638333333,0.3837777703346745,369.25838166666665,0.21675304074970955,22
0.2,1,411.0177,348.846,57.05222166666667,0.2672399616640772,367.6657950000001,0.22943406152008458,18
0.2,2,379.0349,343.42900000000003,57.11333749999997,0.2560774230869651,350.2865300000001,0.22568494990940696,20
0.2,3,432.9393,249.30700000000002,51.26283383333333,0.35554911548144796,351.5724391666665,0.2164611698509649,17
0.2,4,292.8967,265.839,53.02955466666667,0.34113297271406123,361.21344416666636,0.20343979389755365,16
0.2,5,303.2103,298.647,55.62734816666667,0.3211456446350821,362.81503000000026,0.21344517224702486,16
0.2,6,288.5783,268.27900000000005,56.645114500000005,0.3494147075743286,365.2650399999999,0.2256290207079752,19
0.2,7,305.7276,260.867,56.9454185,0.3611969956593461,362.5000658333339,0.21134173148314356,18
0.2,8,335.0973,245.42,53.51520633333328,0.37013271806155434,364.172825,0.20477862114319315,18
0.2,9,336.6587,265.735,53.791524833333334,0.32589498936910827,338.2816666666663,0.22333058134466027,16
0.2,10,412.583,256.087,62.17140633333333,0.3569548825203936,364.3015124999999,0.22346574158086346,21
0.2,11,486.8909,231.38,50.01442866666665,0.38120938139280264,356.9840341666664,0.21744420302377418,19
0.2,12,421.1067,239.92000000000002,54.58821999999999,0.40070549905524044,381.04792916666673,0.19803407366871079,17
0.2,13,348.9968,278.69500000000005,56.395590833333316,0.343700168045115,370.6008333333336,0.21571399255940665,19
0.2,14,395.5661,200.963,49.10397499999999,0.43270648494167235,339.7979083333332,0.21789300138422474,17
0.25,0,440.8295,336.144,52.73741433333334,0.26581256842305684,356.6553083333331,0.22023145562818638,17
0.25,1,539.1135,286.666,54.51921966666663,0.32251327910064903,356.4654158333331,0.22885351730280137,19
0.25,2,480.2102,323.858,53.13196249999998,0.26976371331468313,355.72494583333315,0.21651596018040245,19
0.25,3,523.6236,267.941,54.931007333333355,0.33902352881169107,360.57761499999987,0.2178982732271063,17
0.25,4,475.6521,320.67900000000003,55.42594000000002,0.2905524735535119,362.6584599999999,0.20466366824571036,16
0.25,5,378.5461,219.102,51.983222500000025,0.4109200052943378,356.1101416666663,0.2092262021044531,17
0.25,6,438.8352,237.495,51.54605200000002,0.36576239499778956,355.9494108333332,0.22546081101143056,17
0.25,7,377.5109,252.861,53.186293999999975,0.34904385545154576,354.87069833333334,0.21384626572421034,20
0.25,8,318.335,296.416,58.355814999999986,0.3133591641476842,359.6125058333334,0.21785573812460593,17
0.25,9,297.9357,269.748,59.485568500000014,0.36741860304185137,383.2913216666669,0.22266449281455625,22
0.25,10,322.8834,209.96,54.67369533333332,0.4317339334476407,359.3294641666665,0.20998527655564825,15
0.25,11,315.2922,259.99600000000004,56.27011433333331,0.34905073539592907,370.55123333333347,0.21879668855945852,19
0.25,12,330.3203,222.53600000000003,54.904636333333336,0.40613406370205263,358.30198166666645,0.22314195054997651,17
0.25,13,350.4325,221.215,54.899716333333295,0.4223185965388121,375.7839741666669,0.2219737823827659,20
0.25,14,324.7191,279.384,57.33835133333334,0.338691502257347,368.84757500000006,0.2122211937894484,18
0.3,0,326.6746,222.484,55.33373000000001,0.4055479794801724,353.93126333333356,0.21305447386049753,20
0.3,1,371.8771,255.54700000000003,56.11235516666661,0.375348357314571,369.5675024999996,0.2161195701058963,21
0.3,2,484.3702,281.45000000000005,57.76172033333336,0.3440257357730799,373.2005341666669,0.20121463432649364,19
0.3,3,480.6071,235.748,53.29373366666663,0.37754466633863265,350.92078166666647,0.21178897017339357,23
0.3,4,484.5404,241.764,51.98950349999999,0.3460004039752265,350.0220083333337,0.2168572079813316,19
0.3,5,488.3214,273.538,52.902004000000005,0.33456927983193085,366.11310166666686,0.23046234753482275,17
0.3,6,449.87,240.67700000000002,53.30161149999998,0.3957224205054907,375.0126375000002,0.21197977583202254,18
0.3,7,449.5127,260.11600000000004,56.09487766666669,0.36164369614582215,352.70538,0.21938034454678368,19
0.3,8,430.4254,339.78000000000003,58.92428999999995,0.2686646261306336,354.3161899999999,0.2245092642219564,21
0.3,9,498.2555,290.633,57.14196333333334,0.3298437949808406,372.7340408333334,0.21909108156021517,18
0.3,10,416.7508,266.716,56.82102349999999,0.33651629448552023,351.7520158333334,0.21830114552752308,19
0.3,11,427.6869,295.557,59.90430049999999,0.3403763233487958,374.69786750000026,0.2124451299056782,21
0.3,12,485.9295,249.55000000000004,55.74882816666668,0.377110358645562,369.54275499999994,0.21200189481124734,18
0.3,13,433.3749,331.583,58.109117166666664,0.29473668231885625,371.8847958333331,0.2203026841419996,16
0.3,14,476.4203,246.786,52.40272183333333,0.36165894067464666,352.25361833333335,0.21484983682725523,21
0.35,0,453.9947,216.119,48.42805433333336,0.3815833792185479,339.71666833333336,0.22300261237810412,20
0.35,1,459.3084,274.22999999999996,59.47391483333328,0.34482657501610575,369.8940375000001,0.21927975005536293,17
0.35,2,411.173,282.365,54.76708916666666,0.32930081631930314,359.75177500000007,0.21121513786549723,18
0.35,3,327.3705,198.107,49.03776516666667,0.43773767038351324,337.708206666667,0.2140040701482795,18
0.35,4,324.2958,232.931,53.54076750000002,0.39256450765820494,359.4921141666669,0.21421936751068693,16
0.35,5,346.9604,280.654,57.04772100000003,0.33083521584109493,360.1189483333333,0.2079393370916031,23
0.35,6,407.2605,253.21300000000002,52.609520833333285,0.3638053075210723,379.20714583333364,0.20770266086092304,16
0.35,7,329.3053,191.323,49.405928833333334,0.4462552942754749,345.7942883333333,0.21966114378210858,17
0.35,8,328.665,296.92900000000003,55.504192333333336,0.30496905545321157,360.26703666666685,0.22056527202385245,18
0.35,9,332.2072,253.46500000000003,59.87508333333329,0.3903679995265618,380.58951833333316,0.2127257292924596,18
0.35,10,318.1462,337.374,56.23808016666671,0.2808619415445963,370.96823166666655,0.22228955042329496,16
0.35,11,323.9773,247.002,55.67848133333337,0.36470502263139565,348.27152166666633,0.21152503415977222,18
0.35,12,328.3819,305.65700000000004,57.93475683333333,0.31074094491537896,364.63121833333327,0.21678079595638186,17
0.35,13,386.3473,238.301,54.53180683333335,0.3944149975591093,373.16456499999964,0.21450783843247503,19
0.35,14,467.3258,257.155,56.74053049999996,0.3682927676563421,368.72973666666667,0.2146346761651715,18
0.4,0,465.1047,249.709,51.54628350000003,0.3499474054466065,346.61587333333364,0.22867919995497898,19
0.4,1,480.294,248.377,54.10913499999998,0.36320271200634513,367.35400666666635,0.22033457542256613,16
0.4,2,515.9106,242.651,56.790884666666685,0.3653402898264036,352.5526583333332,0.21459650639288994,21
0.4,3,494.4994,173.35000000000002,49.7039145,0.49193993846745504,348.11141916666656,0.20586515663584604,17
0.4,4,451.2193,263.802,55.06245033333334,0.3587784841156118,365.2366174999998,0.21947101536848018,18
0.4,5,437.0305,301.944,53.764613333333344,0.30253477466020184,363.66827499999977,0.21782017570439893,16
0.4,6,402.3082,299.035,56.40357216666667,0.31163406736112265,360.2996941666665,0.2075436388812201,18
0.4,7,356.6044,238.967,51.281506333333326,0.37227526534347144,346.54844499999984,0.2059047203742383,18
0.4,8,327.6419,258.31,60.74406966666665,0.34170203115120074,347.0293233333332,0.22414993514768042,21
0.4,9,362.4306,333.322,55.31537833333332,0.28551683257230753,374.5813125000004,0.21983547728207908,20
0.4,10,394.3304,228.274,53.13190716666666,0.4076169135921451,371.56126749999976,0.205658381878769,20
0.4,11,352.0627,273.01800000000003,59.526975666666665,0.3365420961255301,358.4517258333333,0.2203760691532149,17
0.4,12,390.5398,290.293,55.91269183333335,0.32696813219746945,373.5872991666665,0.21775494334014417,21
0.4,13,342.9936,273.091,58.42349816666665,0.3638743434728108,377.11384666666675,0.21403455988353964,17
0.4,14,362.782,357.766,55.852754166666685,0.2626646513829336,371.21283333333326,0.216576553306262,18
0.45,0,404.7628,259.497,52.44519966666664,0.3466427357541705,356.40810833333325,0.20304734949292094,18
0.45,1,338.9592,282.10400000000004,56.86478066666668,0.33442779967671493,363.6582941666669,0.22321079800896562,23
0.45,2,445.2129,232.965,55.27276116666664,0.3874310304122938,366.87187333333367,0.22204565712572527,19
0.45,3,408.9709,268.019,55.67566816666662,0.3464279771210251,370.3154191666665,0.21804229471896772,20
0.45,4,419.3362,226.28000000000003,53.651064999999996,0.3873503697483944,351.8070841666663,0.21098630430283205,18
0.45,5,332.7189,277.08,56.140931833333305,0.32205525480005776,349.1149883333334,0.21096799183270182,22
0.45,6,355.9573,351.508,57.54032350000001,0.270319343134912,366.2745758333334,0.21782186115097807,18
0.45,7,406.7358,242.479,58.566235833333295,0.3840843949372935,369.58744333333357,0.21306289756062377,17
0.45,8,354.8628,242.31400000000002,51.242190999999956,0.34366812620539183,348.32694749999996,0.20139380975154061,24
0.45,9,354.535,275.06100000000004,57.232450833333324,0.3346196904201855,366.4485758333334,0.21290421502847812,19
0.45,10,408.0181,245.51000000000002,57.41313016666672,0.3985620069786702,372.65232916666605,0.21871057703819896,16
0.45,11,401.2886,282.38800000000003,55.42484200000003,0.3432735102058161,379.8096499999999,0.22801894971858833,15
0.45,12,430.4527,319.801,58.91762016666665,0.3037086135857402,371.236754166667,0.21194174308801927,18
0.45,13,370.2493,259.459,55.808466666666675,0.36454480926337746,362.91734833333345,0.2132313165703709,18
0.45,14,359.8524,294.221,56.969714499999995,0.3284005503799298,379.15893916666687,0.21485367880616,16
0.5,0,433.5208,253.30800000000002,54.20684199999999,0.34661705644248625,352.13865833333364,0.22190009402387742,22
0.5,1,451.8373,236.179,57.32907700000001,0.40590190773382345,369.3223674999999,0.2157826735305144,17
0.5,2,445.6634,234.983,51.09708833333328,0.37034305318540767,343.4940200000001,0.22818947213327634,17
0.5,3,465.9138,237.804,53.9952366666667,0.376522212970906,362.7457933333333,0.21205374113770306,21
0.5,4,505.6251,357.112,60.12776066666665,0.24933252499682634,353.47619833333306,0.22432053396569487,20
0.5,5,406.354,263.985,57.34251183333331,0.34819104620843355,367.9386316666665,0.21171151548732153,20
0.5,6,330.45,290.176,57.664766333333276,0.312953483403176,354.66775083333346,0.22116230799597644,20
0.5,7,347.7543,272.244,56.30819949999999,0.3439480270149817,369.4043908333333,0.21003464189457222,24
0.5,8,326.4009,211.245,51.90317050000001,0.41424049484405934,353.58996499999995,0.2189240820251724,20
0.5,9,379.7594,230.25,53.56465950000001,0.40253282663771267,378.6781758333331,0.21569830390990194,20
0.5,10,357.6805,264.39,61.17249366666671,0.3596130526873181,381.9143175,0.2241279155839239,19
0.5,11,330.9749,248.978,50.47775916666665,0.356722889840334,351.3178725000001,0.21388212188236566,18
0.5,12,375.9181,217.54100000000003,55.84320900000001,0.41039266927460416,361.76271749999984,0.21564591946115685,19
0.5,13,393.9159,295.283,56.98128783333333,0.30803254279228176,368.03943666666686,0.21439615692389402,18
0.5,14,344.3275,310.09,53.05658183333336,0.28877217904479346,352.58394749999974,0.21678456194102952,16
0.6,0,344.8513,206.335,53.4376991666667,0.4132014846406733,358.0564308333335,0.2201630040030634,19
0.6,1,369.8376,205.17200000000003,54.338907666666664,0.45550920690932495,372.60603416666675,0.21946538080025377,19
0.6,2,341.0247,236.96,56.86017166666662,0.39661908479630875,360.94405333333344,0.21881934407985953,17
0.6,3,343.0353,199.02200000000002,50.59947533333331,0.45064195583067873,355.4408441666669,0.21736174676525138,18
0.6,4,328.6211,274.917,56.248777666666676,0.3375942860329966,368.95810500000005,0.2251447171290197,20
0.6,5,374.8166,235.907,52.352978333333304,0.3933920075849099,365.02440500000046,0.2119264684914011,17
0.6,6,408.5518,300.003,59.00879799999996,0.31775021138677495,384.5773091666665,0.21190444604183953,20
0.6,7,435.9408,291.024,62.765039166666675,0.3489332208569282,389.01964833333324,0.22627942804776513,24
0.6,8,440.61,222.686,51.28472199999999,0.39017660143280963,352.29496916666676,0.20609854688785792,18
0.6,9,384.1339,263.773,53.18064683333331,0.3399112178527244,347.2196091666665,0.22088078352842438,16
0.6,10,342.2057,296.589,56.65915516666668,0.30990222721229266,351.51361916666684,0.2184561193224723,16
0.6,11,349.8861,289.93,53.797736666666665,0.29745592614309196,353.1446308333334,0.22451972276128254,17
0.6,12,377.1873,248.636,54.10785083333332,0.35488740568541965,358.284494166667,0.22452794887553235,22
0.6,13,349.2299,198.649,50.4303953333333,0.4306523902293323,355.22657916666634,0.21064609699471246,19
0.6,14,356.9647,264.934,54.71047033333334,0.33929242125711817,364.1509433333335,0.2177586406334124,19
